,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,,,,,,,,,,,,,,,,,,,,,,,,
B,,100.0,100.0,50.0,50.0,25.0,25.0,12.5,12.5,6.3,6.3,3.1,3.1,15.0,15.0,7.5,7.5,3.8,3.8,1.9,1.9,0.9,0.9,
C,,100.0,100.0,50.0,50.0,25.0,25.0,12.5,12.5,6.3,6.3,3.1,3.1,15.0,15.0,7.5,7.5,3.8,3.8,1.9,1.9,0.9,0.9,
D,,100.0,100.0,50.0,50.0,25.0,25.0,12.5,12.5,6.3,6.3,3.1,3.1,15.0,15.0,7.5,7.5,3.8,3.8,1.9,1.9,0.9,0.9,
E,,100.0,100.0,50.0,50.0,25.0,25.0,12.5,12.5,6.3,6.3,3.1,3.1,15.0,15.0,7.5,7.5,3.8,3.8,1.9,1.9,0.9,0.9,
F,,100.0,100.0,50.0,50.0,25.0,25.0,12.5,12.5,6.3,6.3,3.1,3.1,15.0,15.0,7.5,7.5,3.8,3.8,1.9,1.9,0.9,0.9,
G,,100.0,100.0,50.0,50.0,25.0,25.0,12.5,12.5,6.3,6.3,3.1,3.1,15.0,15.0,7.5,7.5,3.8,3.8,1.9,1.9,0.9,0.9,
H,,100.0,100.0,50.0,50.0,25.0,25.0,12.5,12.5,6.3,6.3,3.1,3.1,15.0,15.0,7.5,7.5,3.8,3.8,1.9,1.9,0.9,0.9,
I,,100.0,100.0,50.0,50.0,25.0,25.0,12.5,12.5,6.3,6.3,3.1,3.1,15.0,15.0,7.5,7.5,3.8,3.8,1.9,1.9,0.9,0.9,
J,,100.0,100.0,50.0,50.0,25.0,25.0,12.5,12.5,6.3,6.3,3.1,3.1,15.0,15.0,7.5,7.5,3.8,3.8,1.9,1.9,0.9,0.9,
K,,100.0,100.0,50.0,50.0,25.0,25.0,12.5,12.5,6.3,6.3,3.1,3.1,15.0,15.0,7.5,7.5,3.8,3.8,1.9,1.9,0.9,0.9,
L,,100.0,100.0,50.0,50.0,25.0,25.0,12.5,12.5,6.3,6.3,3.1,3.1,15.0,15.0,7.5,7.5,3.8,3.8,1.9,1.9,0.9,0.9,
M,,100.0,100.0,50.0,50.0,25.0,25.0,12.5,12.5,6.3,6.3,3.1,3.1,15.0,15.0,7.5,7.5,3.8,3.8,1.9,1.9,0.9,0.9,
N,,No TCR ,No TCR ,No TCR ,No TCR ,No TCR ,No TCR ,No TCR ,No TCR ,No TCR ,No TCR ,No TCR ,No TCR ,No TCR ,No TCR ,No TCR ,No TCR ,No TCR ,No TCR ,No TCR ,No TCR ,No TCR ,No TCR ,
O,,No T Cell,No T Cell,No T Cell,No T Cell,No T Cell,No T Cell,No T Cell,No T Cell,No T Cell,No T Cell,No T Cell,No T Cell,No T Cell,No T Cell,No T Cell,No T Cell,No T Cell,No T Cell,No T Cell,No T Cell,No T Cell,No T Cell,
P,,,,,,,,,,,,,,,,,,,,,,,,
